timestamp,code,i01,i02,i03,i04r,i05,i06,i07,i08r,i09,i10,n_facebook_friends,n_hangover,age,sex,extra_single_item,time_conversation,presentation,n_party,clients,extra_vignette,extra_description,prop_na_per_row,extra_mean,extra_median,n_clients
11.03.2015 19:17:48,HSC,3,2,3,2,4,1,3,3,3,1,250,1.0,24,Frau,4,10.0,nein,20.0,,,NA,0.043478260869565216,2.5,3.0,NA
11.03.2015 19:18:05,ERB,2,3,1,3,3,3,2,2,3,1,106,0.0,35,Frau,3,15.0,nein,5.0,,,NA,0.043478260869565216,2.3,2.5,NA
11.03.2015 19:18:09,ADP,3,1,1,1,4,4,3,3,3,1,215,0.0,25,Frau,4,15.0,nein,3.0,,,NA,0.043478260869565216,2.4,3.0,NA
11.03.2015 19:18:19,KHB,3,2,2,1,3,2,3,2,3,2,200,15.0,39,Frau,3,5.0,nein,25.0,,,NA,0.043478260869565216,2.3,2.0,NA
11.03.2015 19:18:19,PTG,4,2,1,1,4,2,4,3,3,4,100,0.0,29,Frau,4,5.0,nein,4.0,,,NA,0.043478260869565216,2.8,3.0,NA
11.03.2015 19:18:23,ABL,3,3,1,1,2,2,4,2,3,3,376,1.0,33,Mann,4,20.0,ja,4.0,,,NA,0.043478260869565216,2.4,2.5,NA
11.03.2015 19:18:38,ber,4,1,1,2,3,2,2,2,3,2,180,1.0,24,Frau,3,2.0,ja,3.0,,,NA,0.043478260869565216,2.2,2.0,NA
11.03.2015 19:18:50,hph,3,2,2,2,2,3,3,3,4,1,432,2.0,28,Mann,3,15.0,ja,6.0,,,NA,0.043478260869565216,2.5,2.5,NA
11.03.2015 19:19:27,IHW,4,1,1,1,3,1,3,2,4,2,200,5.0,29,Frau,4,10.0,nein,12.0,,,NA,0.043478260869565216,2.2,2.0,NA
11.03.2015 19:19:31,LEI,4,1,2,1,3,2,3,2,3,3,NA,0.0,38,Mann,4,10.0,nein,5.0,,,NA,0.08695652173913043,2.4,2.5,NA
11.03.2015 19:19:40,PTG,3,2,1,2,3,2,2,2,4,1,400,1.0,25,Frau,4,1.0,nein,10.0,,,NA,0.043478260869565216,2.2,2.0,NA
11.03.2015 19:20:02,HRM,3,1,1,2,2,2,4,3,2,3,160,2.0,52,Frau,4,5.0,ja,5.0,,,NA,0.043478260869565216,2.3,2.0,NA
11.03.2015 19:20:02,WHB,4,2,1,3,3,2,2,2,4,2,463,20.0,32,Mann,4,5.0,ja,10.0,,,NA,0.043478260869565216,2.5,2.0,NA
11.03.2015 19:20:07,TSL,4,2,4,1,3,2,3,2,4,3,308,2.0,25,Mann,4,5.0,ja,10.0,,,NA,0.043478260869565216,2.8,3.0,NA
11.03.2015 19:20:20,AKS,3,2,1,2,3,2,3,1,4,2,305,20.0,23,Frau,4,30.0,nein,45.0,,,NA,0.043478260869565216,2.3,2.0,NA
11.03.2015 19:20:33,WGM,4,1,2,1,3,1,3,2,4,3,520,7.0,27,Frau,4,15.0,ja,12.0,,,NA,0.043478260869565216,2.4,2.5,NA
11.03.2015 19:20:43,WEL,4,1,3,1,3,2,3,3,4,3,369,0.0,32,Frau,4,10.0,nein,5.0,,,NA,0.043478260869565216,2.7,3.0,NA
11.03.2015 19:20:52,WOM,4,2,3,1,4,1,4,1,4,3,NA,12.0,23,Mann,4,4.0,ja,120.0,,,NA,0.08695652173913043,2.7,3.0,NA
11.03.2015 19:21:52,BKM,3,2,1,1,3,2,3,2,3,2,349,1.0,33,Mann,4,5.0,nein,2.0,,,NA,0.043478260869565216,2.2,2.0,NA
11.03.2015 19:27:20,PTG,3,2,1,2,3,2,2,2,4,1,400,1.0,25,Frau,4,1.0,nein,10.0,,,NA,0.043478260869565216,2.2,2.0,NA
12.03.2015 07:06:02,HHD,4,1,2,1,4,1,4,1,4,3,607,30.0,27,Frau,4,2.0,nein,30.0,,,NA,0.043478260869565216,2.5,2.5,NA
12.03.2015 11:17:49,HHM,3,3,1,3,1,1,1,2,4,1,197,12.0,26,Mann,3,30.0,ja,24.0,,,NA,0.043478260869565216,2.0,1.5,NA
