"","pclass","survived","sex","age","sibsp","parch"
"1","1st",1,"female",29,0,0
"2","1st",1,"male",0.916700006,1,2
"3","1st",0,"female",2,1,2
"4","1st",0,"male",30,1,2
"5","1st",0,"female",25,1,2
"6","1st",1,"male",48,0,0
"7","1st",1,"female",63,1,0
"8","1st",0,"male",39,0,0
"9","1st",1,"female",53,2,0
"10","1st",0,"male",71,0,0
"11","1st",0,"male",47,1,0
"12","1st",1,"female",18,1,0
"13","1st",1,"female",24,0,0
"14","1st",1,"female",26,0,0
"15","1st",1,"male",80,0,0
"17","1st",0,"male",24,0,1
"18","1st",1,"female",50,0,1
"19","1st",1,"female",32,0,0
"20","1st",0,"male",36,0,0
"21","1st",1,"male",37,1,1
"22","1st",1,"female",47,1,1
"23","1st",1,"male",26,0,0
"24","1st",1,"female",42,0,0
"25","1st",1,"female",29,0,0
"26","1st",0,"male",25,0,0
"27","1st",1,"male",25,1,0
"28","1st",1,"female",19,1,0
"29","1st",1,"female",35,0,0
"30","1st",1,"male",28,0,0
"31","1st",0,"male",45,0,0
"32","1st",1,"male",40,0,0
"33","1st",1,"female",30,0,0
"34","1st",1,"female",58,0,0
"35","1st",0,"male",42,0,0
"36","1st",1,"female",45,0,0
"37","1st",1,"female",22,0,1
"39","1st",0,"male",41,0,0
"40","1st",0,"male",48,0,0
"42","1st",1,"female",44,0,0
"43","1st",1,"female",59,2,0
"44","1st",1,"female",60,0,0
"45","1st",1,"female",41,0,0
"46","1st",0,"male",45,0,0
"48","1st",1,"male",42,0,0
"49","1st",1,"female",53,0,0
"50","1st",1,"male",36,0,1
"51","1st",1,"female",58,0,1
"52","1st",0,"male",33,0,0
"53","1st",0,"male",28,0,0
"54","1st",0,"male",17,0,0
"55","1st",1,"male",11,1,2
"56","1st",1,"female",14,1,2
"57","1st",1,"male",36,1,2
"58","1st",1,"female",36,1,2
"59","1st",0,"male",49,0,0
"61","1st",0,"male",36,1,0
"62","1st",1,"female",76,1,0
"63","1st",0,"male",46,1,0
"64","1st",1,"female",47,1,0
"65","1st",1,"male",27,1,0
"66","1st",1,"female",33,1,0
"67","1st",1,"female",36,0,0
"68","1st",1,"female",30,0,0
"69","1st",1,"male",45,0,0
"72","1st",0,"male",27,1,0
"73","1st",1,"female",26,1,0
"74","1st",1,"female",22,0,0
"76","1st",0,"male",47,0,0
"77","1st",1,"female",39,1,1
"78","1st",0,"male",37,1,1
"79","1st",1,"female",64,0,2
"80","1st",1,"female",55,2,0
"82","1st",0,"male",70,1,1
"83","1st",1,"female",36,0,2
"84","1st",1,"female",64,1,1
"85","1st",0,"male",39,1,0
"86","1st",1,"female",38,1,0
"87","1st",1,"male",51,0,0
"88","1st",1,"male",27,0,0
"89","1st",1,"female",33,0,0
"90","1st",0,"male",31,1,0
"91","1st",1,"female",27,1,2
"92","1st",1,"male",31,1,0
"93","1st",1,"female",17,1,0
"94","1st",1,"male",53,1,1
"95","1st",1,"male",4,0,2
"96","1st",1,"female",54,1,1
"97","1st",0,"male",50,1,0
"98","1st",1,"female",27,1,1
"99","1st",1,"female",48,1,0
"100","1st",1,"female",48,1,0
"101","1st",1,"male",49,1,0
"102","1st",0,"male",39,0,0
"103","1st",1,"female",23,0,1
"104","1st",1,"female",38,0,0
"105","1st",1,"female",54,1,0
"106","1st",0,"female",36,0,0
"110","1st",1,"male",36,0,0
"111","1st",0,"male",30,0,0
"112","1st",1,"female",24,3,2
"113","1st",1,"female",28,3,2
"114","1st",1,"female",23,3,2
"115","1st",0,"male",19,3,2
"116","1st",0,"male",64,1,4
"117","1st",1,"female",60,1,4
"118","1st",1,"female",30,0,0
"120","1st",1,"male",50,2,0
"121","1st",1,"male",43,1,0
"123","1st",1,"female",22,0,2
"124","1st",1,"male",60,1,1
"125","1st",1,"female",48,1,1
"127","1st",0,"male",37,1,0
"128","1st",1,"female",35,1,0
"129","1st",0,"male",47,0,0
"130","1st",1,"female",35,0,0
"131","1st",1,"female",22,0,1
"132","1st",1,"female",45,0,1
"133","1st",0,"male",24,0,0
"134","1st",1,"male",49,1,0
"136","1st",0,"male",71,0,0
"137","1st",1,"male",53,0,0
"138","1st",1,"female",19,0,0
"139","1st",0,"male",38,0,1
"140","1st",1,"female",58,0,1
"141","1st",1,"male",23,0,1
"142","1st",1,"female",45,0,1
"143","1st",0,"male",46,0,0
"144","1st",1,"male",25,1,0
"145","1st",1,"female",25,1,0
"146","1st",1,"male",48,1,0
"147","1st",1,"female",49,1,0
"149","1st",0,"male",45,1,0
"150","1st",1,"female",35,1,0
"151","1st",0,"male",40,0,0
"152","1st",1,"male",27,0,0
"154","1st",1,"female",24,0,0
"155","1st",0,"male",55,1,1
"156","1st",1,"female",52,1,1
"157","1st",0,"male",42,0,0
"159","1st",0,"male",55,0,0
"160","1st",1,"female",16,0,1
"161","1st",1,"female",44,0,1
"162","1st",1,"female",51,1,0
"163","1st",0,"male",42,1,0
"164","1st",1,"female",35,1,0
"165","1st",1,"male",35,0,0
"166","1st",1,"male",38,1,0
"168","1st",1,"female",35,1,0
"169","1st",1,"female",38,0,0
"170","1st",0,"female",50,0,0
"171","1st",1,"male",49,0,0
"172","1st",0,"male",46,0,0
"173","1st",0,"male",50,0,0
"174","1st",0,"male",32.5,0,0
"175","1st",0,"male",58,0,0
"176","1st",0,"male",41,1,0
"178","1st",1,"male",42,1,0
"179","1st",1,"female",45,1,0
"181","1st",1,"female",39,0,0
"182","1st",1,"female",49,0,0
"183","1st",1,"female",30,0,0
"184","1st",1,"male",35,0,0
"186","1st",0,"male",42,0,0
"187","1st",1,"female",55,0,0
"188","1st",1,"female",16,0,1
"189","1st",1,"female",51,0,1
"190","1st",0,"male",29,0,0
"191","1st",1,"female",21,0,0
"192","1st",0,"male",30,0,0
"193","1st",1,"female",58,0,0
"194","1st",1,"female",15,0,1
"195","1st",0,"male",30,0,0
"196","1st",1,"female",16,0,0
"198","1st",0,"male",19,1,0
"199","1st",1,"female",18,1,0
"200","1st",1,"female",24,0,0
"201","1st",0,"male",46,0,0
"202","1st",0,"male",54,0,0
"203","1st",1,"male",36,0,0
"204","1st",0,"male",28,1,0
"206","1st",0,"male",65,0,0
"207","1st",0,"male",44,2,0
"208","1st",1,"female",33,1,0
"209","1st",1,"female",37,1,0
"210","1st",1,"male",30,1,0
"211","1st",0,"male",55,0,0
"212","1st",0,"male",47,0,0
"213","1st",0,"male",37,0,1
"214","1st",1,"female",31,1,0
"215","1st",1,"female",23,1,0
"216","1st",0,"male",58,0,2
"217","1st",1,"female",19,0,2
"218","1st",0,"male",64,0,0
"219","1st",1,"female",39,0,0
"221","1st",1,"female",22,0,1
"222","1st",0,"male",65,0,1
"223","1st",0,"male",28.5,0,0
"225","1st",0,"male",45.5,0,0
"226","1st",0,"male",23,0,0
"227","1st",0,"male",29,1,0
"228","1st",1,"female",22,1,0
"229","1st",0,"male",18,1,0
"230","1st",1,"female",17,1,0
"231","1st",1,"female",30,0,0
"232","1st",1,"male",52,0,0
"233","1st",0,"male",47,0,0
"234","1st",1,"female",56,0,1
"235","1st",0,"male",38,0,0
"237","1st",0,"male",22,0,0
"239","1st",1,"female",43,0,1
"240","1st",0,"male",31,0,0
"241","1st",1,"male",45,0,0
"243","1st",1,"female",33,0,0
"244","1st",0,"male",46,0,0
"245","1st",0,"male",36,0,0
"246","1st",1,"female",33,0,0
"247","1st",0,"male",55,1,0
"248","1st",1,"female",54,1,0
"249","1st",0,"male",33,0,0
"250","1st",1,"male",13,2,2
"251","1st",1,"female",18,2,2
"252","1st",1,"female",21,2,2
"253","1st",0,"male",61,1,3
"254","1st",1,"female",48,1,3
"256","1st",1,"female",24,0,0
"258","1st",1,"female",35,1,0
"259","1st",1,"female",30,0,0
"260","1st",1,"male",34,0,0
"261","1st",1,"female",40,0,0
"262","1st",1,"male",35,0,0
"263","1st",0,"male",50,1,0
"264","1st",1,"female",39,1,0
"265","1st",1,"male",56,0,0
"266","1st",1,"male",28,0,0
"267","1st",0,"male",56,0,0
"268","1st",0,"male",56,0,0
"269","1st",0,"male",24,1,0
"271","1st",1,"female",18,1,0
"272","1st",1,"male",24,1,0
"273","1st",1,"female",23,1,0
"274","1st",1,"male",6,0,2
"275","1st",1,"male",45,1,1
"276","1st",1,"female",40,1,1
"277","1st",0,"male",57,1,0
"279","1st",1,"male",32,0,0
"280","1st",0,"male",62,0,0
"281","1st",1,"male",54,1,0
"282","1st",1,"female",43,1,0
"283","1st",1,"female",52,1,0
"285","1st",1,"female",62,0,0
"286","1st",0,"male",67,1,0
"287","1st",0,"female",63,1,0
"288","1st",0,"male",61,0,0
"289","1st",1,"female",48,0,0
"290","1st",1,"female",18,0,2
"291","1st",0,"male",52,1,1
"292","1st",1,"female",39,1,1
"293","1st",1,"male",48,1,0
"295","1st",0,"male",49,1,1
"296","1st",1,"male",17,0,2
"297","1st",1,"female",39,1,1
"299","1st",1,"male",31,0,0
"300","1st",0,"male",40,0,0
